web_name,team,position,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in_event,transfers_out_event,bonus,goals_scored,assists,goals_conceded,clean_sheets,saves,own_goals,penalties_missed,penalties_saved,penalties_order,yellow_cards,red_cards,starts,minutes,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,chance_of_playing_next_round,chance_of_playing_this_round,status,in_dreamteam,dreamteam_count,ep_this,ep_next,strength,is_GKP,goal_involvement
Pearson,BOU,MID,0.0,4.5,0.0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,3,0,0
Randolph,BOU,GKP,0.0,4.0,0.5,0,0,0.0,0.0,0.0,0.0,26,683,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,25.0,25.0,Doubtful,0,0,-0.2,-0.1,3,1,0
Rothwell,BOU,MID,1.0,4.800000000000001,0.0,1,10,10.9,41.6,61.7,5.0,12,33,0,0,0,11,0,0,0,0,0,0.0,0,0,3,357,0.06,0.2,0.26,11.0,0.0,0.0,Available,0,0,0.0,0.5,3,0,0
Semenyo,BOU,FWD,3.3,4.5,2.9,1,25,27.6,93.6,47.9,136.0,7036,9092,4,2,1,11,0,0,0,0,0,0.0,1,0,4,341,0.84,0.51,1.35,8.77,100.0,100.0,Available,0,0,2.3,2.8,3,0,3
Senesi,BOU,DEF,0.3,4.3,0.1,0,9,17.2,135.2,33.2,2.0,50,269,0,0,1,17,0,0,0,0,0,0.0,1,0,5,485,0.0,0.34,0.34,15.54,0.0,0.0,Available,0,0,-0.7,-0.2,3,0,1
Smith,BOU,DEF,0.3,4.4,0.0,0,3,4.5,18.0,24.5,2.0,32,35,0,0,0,4,0,0,0,0,0,0.0,0,0,1,97,0.0,0.16,0.16,3.72,100.0,100.0,Available,0,0,-0.7,-0.2,3,0,0
Solanke,BOU,FWD,3.7,6.4,2.4,2,43,66.7,195.6,115.5,354.0,4378,11985,3,4,1,25,1,0,0,0,0,1.0,1,0,11,978,4.1,0.61,4.71,23.07,100.0,100.0,Available,0,0,2.7,3.2,3,0,5
Tavernier,BOU,MID,2.0,5.4,0.0,2,18,28.2,97.4,100.8,84.0,43,154,0,0,1,15,1,0,0,0,0,0.0,0,0,7,527,0.57,0.78,1.35,12.25,100.0,100.0,Available,0,0,1.0,1.5,3,0,1
Hamed Traorè,BOU,MID,0.0,4.7,0.0,0,3,5.7,12.8,14.8,30.0,14,25,0,0,0,1,0,0,0,0,0,0.0,0,0,0,44,0.17,0.01,0.18,0.84,0.0,0.0,Available,0,0,-1.0,-0.5,3,0,0
Travers,BOU,GKP,0.0,4.0,0.1,0,0,0.0,0.0,0.0,0.0,0,109,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,3,1,0
Zabarnyi,BOU,DEF,0.3,4.4,0.1,-1,13,21.9,194.2,9.3,16.0,61,336,0,0,0,27,1,0,0,0,0,0.0,2,0,11,990,0.28,0.07,0.35,24.08,0.0,0.0,Available,0,0,-0.7,-0.2,3,0,0
Kerkez,BOU,DEF,0.7,4.4,0.2,-1,13,20.3,118.4,64.9,20.0,102,589,0,0,0,24,1,0,1,0,0,0.0,1,0,10,853,0.1,0.4,0.5,21.69,0.0,0.0,Available,0,0,-0.3,0.2,3,0,0
Radu,BOU,GKP,0.7,4.4,0.1,-1,2,3.3,33.0,0.0,0.0,138,183,0,0,0,7,0,5,0,0,0,0.0,0,0,2,180,0.0,0.0,0.0,2.76,0.0,0.0,Available,0,0,-0.3,0.2,3,1,0
Greenwood,BOU,DEF,0.0,4.0,0.2,0,0,0.0,0.0,0.0,0.0,187,357,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,-1.0,-0.5,3,0,0
Aarons,BOU,DEF,1.7,4.5,0.2,2,17,25.5,141.0,93.9,20.0,380,534,0,0,1,24,1,0,0,0,0,0.0,1,0,10,882,0.02,0.74,0.76,20.75,0.0,0.0,Available,0,0,0.7,1.2,3,0,1
Scott,BOU,MID,1.0,4.9,0.0,1,3,4.3,16.4,17.8,10.0,35,68,0,0,0,5,0,0,0,0,0,0.0,1,0,3,189,0.07,0.09,0.16,2.35,75.0,100.0,Doubtful,0,0,0.0,0.4,3,0,0
Adams,BOU,MID,0.0,4.9,0.0,0,0,0.0,0.0,0.0,0.0,11,13,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Injured,0,0,0.0,0.0,3,0,0
Sinisterra,BOU,MID,2.0,5.5,0.0,6,9,12.0,54.0,34.9,31.0,118,50,0,1,0,4,0,0,0,0,0,0.0,0,0,0,99,0.28,0.31,0.59,3.73,0.0,0.0,Available,0,0,1.0,1.5,3,0,1
Ajer,BRE,DEF,4.0,4.5,0.4,0,21,26.7,99.2,72.5,96.0,1274,1605,1,0,1,9,2,0,0,0,0,0.0,2,0,6,543,0.66,1.82,2.48,8.78,100.0,100.0,Available,0,0,4.0,3.5,3,0,1
Balcombe,BRE,GKP,0.0,4.0,0.2,0,0,0.0,0.0,0.0,0.0,133,262,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,0.0,-0.5,3,1,0
